Input file,Input len,Output file,Output len,Tokens,Taken time,Capture
input_files\RTG-CPR-DLC-HalloweenScreamsheets_md_form_for_input.md,6279,input_files\RTG-CPR-DLC-HalloweenScreamsheets_md_form_for_input_output.md,2762,60215,342.06494309999925,482
input_files\RTG-CPR-DLC-BreakingYourStuffv1.1_md_form_for_input.md,5452,input_files\RTG-CPR-DLC-BreakingYourStuffv1.1_md_form_for_input_output.md,2015,47210,220.5409153999999,400
input_files\RTG-CPR-DLC-DidSomeoneSayMurder_md_form_for_input.md,5435,input_files\RTG-CPR-DLC-DidSomeoneSayMurder_md_form_for_input_output.md,1855,43197,221.11425529999906,320
input_files\RTG-CPR-DLC-HopeRebornPlusv1.1_md_form_for_input.md,9945,input_files\RTG-CPR-DLC-HopeRebornPlusv1.1_md_form_for_input_output.md,5005,97113,500.3934752000023,671
input_files\RTG-CPR-DLC-DangerGalDossierPlus_md_form_for_input.md,5243,input_files\RTG-CPR-DLC-DangerGalDossierPlus_md_form_for_input_output.md,2528,51404,237.6520246,456
,,,,,,2329
input_files\提取自RTG-CPR-TalesoftheRED-Digitalv1.2_md_form_for_input.md,10250,input_files\提取自RTG-CPR-TalesoftheRED-Digitalv1.2_md_form_for_input_output.md,4980,97637,452.4628671000246
input_files\提取自RTG-CPR-InterfaceRedvol4v1_01b_md_form_for_input.md,6123,input_files\提取自RTG-CPR-InterfaceRedvol4v1_01b_md_form_for_input_output.md,1946,53275,281.3724609000001
input_files\RTG-CPR-DLC-GoingQuietv1.1_md_form_for_input.md,4320,input_files\RTG-CPR-DLC-GoingQuietv1.1_md_form_for_input_output.md,1509,35975,306.78505550000045
D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\《赤红传说》20-37-欲望代理_md_form_for_input.md,10461,D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\《赤红传说》20-37-欲望代理_md_form_for_input_output.md,2909,86247,511.8652168999979
D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\《希望重生：The Angel's Share》20-41_md_form_for_input.md,11029,D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\《希望重生：The Angel's Share》20-41_md_form_for_input_output.md,3698,91963,755.2811307000011
D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\《赤红传说》92-111-收割死神_md_form_for_input.md,10442,D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\《赤红传说》92-111-收割死神_md_form_for_input_output.md,3700,94369,324.75770080000075
input_files\Dead Letter_md_form_for_input_1.md,29318,input_files\Dead Letter_md_form_for_input_1_output.md,10746,189277,1138.1235313999932
input_files\三月之妻_md_form_for_input_1.md,2322,input_files\三月之妻_md_form_for_input_1_output.md,979,19883,104.65887990000192
input_files\MinerU_DAMNATIO MEMORIAE - Final__20251125132452.md,19638,input_files\MinerU_DAMNATIO MEMORIAE - Final__20251125132452_output.md,7103,136712,647.7623444000001
input_files\MinerU_Whispers of the Dead - Issue 1.1__20251126111021.md,7139,input_files\MinerU_Whispers of the Dead - Issue 1.1__20251126111021_output.md,2584,49745,139.7262128000002
input_files\MinerU_Whispers of the Dead - Issue 2.2__20251126111031.md,25327,input_files\MinerU_Whispers of the Dead - Issue 2.2__20251126111031_output.md,9399,165989,453.29073969999445
input_files\MinerU_Whispers of the Dead - Issue 3__20251126111058.md,37392,input_files\MinerU_Whispers of the Dead - Issue 3__20251126111058_output.md,11877,218974,729.6510341999965
input_files\MinerU_Lost_in_the_Lights__20251126111002.md,52841,input_files\MinerU_Lost_in_the_Lights__20251126111002_output.md,16369,288091,949.4437934000016
uploads\MinerU_Delta Green - The Fall of Delta Green(3)__20251130122759.md,188062,uploads\MinerU_Delta Green - The Fall of Delta Green(3)__20251130122759_output_1.md,65672,1241446,21232.135714599994
